;A32-11
25.392;8
25.442;9
25.492;5
25.542;6
25.592;5
25.642;9
25.692;7
25.742;6
25.792;9
25.842;9
25.892;8
25.942;8
25.992;11
26.042;7
26.092;11
26.142;6
26.192;4
26.242;5
26.292;8
26.342;10
26.392;5
26.442;3
26.492;6
26.542;6
26.592;6
26.642;6
26.692;9
26.742;7
26.792;5
26.842;7
26.892;5
26.942;8
26.992;5
27.042;2
27.092;4
27.142;4
27.192;5
27.242;4
27.292;4
27.342;7
27.392;5
27.442;4
27.492;4
27.542;4
27.592;8
27.642;6
27.692;4
27.742;4
27.792;5
27.842;9
27.892;6
27.942;8
27.992;11
28.042;8
28.092;10
28.142;9
28.192;6
28.242;8
28.292;5
28.342;2
28.392;5
28.442;3
28.492;5
28.542;2
28.592;2
28.642;7
28.692;7
28.742;7
28.792;6
28.842;7
28.892;9
28.942;8
28.992;5
29.042;6
29.092;11
29.142;9
29.192;11
29.242;12
29.292;12
29.342;5
29.392;8
29.442;6
29.492;9
29.542;6
29.592;7
29.642;8
29.692;6
29.742;6
29.792;10
29.842;5
29.892;7
29.942;4
29.992;6
30.042;7
30.092;2
30.142;6
30.192;8
30.242;9
30.292;13
30.342;9
30.392;11
30.442;9
30.492;8
30.542;5
30.592;8
30.642;5
30.692;6
30.742;9
30.792;10
30.842;8
30.892;3
30.942;9
30.992;7
31.042;5
31.092;5
31.142;6
31.192;8
31.242;5
31.292;4
31.342;5
31.392;6
31.442;3
31.492;5
31.542;12
31.592;8
31.642;7
31.692;8
31.742;7
31.792;8
31.842;11
31.892;10
31.942;7
31.992;8
32.042;13
32.092;14
32.142;6
32.192;11
32.242;8
32.292;10
32.342;10
32.392;10
32.442;9
32.492;10
32.542;14
32.592;6
32.642;8
32.692;12
32.742;7
32.792;10
32.842;12
32.892;13
32.942;8
32.992;6
33.042;14
33.092;10
33.142;8
33.192;9
33.242;14
33.292;12
33.342;7
33.392;5
33.442;7
33.492;9
33.542;9
33.592;14
33.642;12
33.692;16
33.742;11
33.792;9
33.842;18
33.892;12
33.942;12
33.992;10
34.042;10
34.092;10
34.142;8
34.192;8
34.242;11
34.292;12
34.342;15
34.392;14
34.442;8
34.492;11
34.542;9
34.592;12
34.642;10
34.692;8
34.742;6
34.792;5
34.842;10
34.892;10
34.942;10
34.992;8
35.042;11
35.092;7
35.142;9
35.192;14
35.242;9
35.292;10
35.342;12
35.392;9
35.442;7
35.492;10
35.542;8
35.592;16
35.642;19
35.692;12
35.742;9
35.792;12
35.842;14
35.892;22
35.942;20
35.992;39
36.042;76
36.092;150
36.142;160
36.192;189
36.242;224
36.292;214
36.342;158
36.392;95
36.442;58
36.492;30
36.542;21
36.592;7
36.642;7
36.692;11
36.742;11
36.792;6
36.842;7
36.892;5
36.942;11
36.992;9
37.042;6
37.092;7
37.142;6
37.192;8
37.242;6
37.292;5
37.342;4
37.392;7
37.442;5
37.492;7
37.542;5
37.592;8
37.642;5
37.692;6
37.742;5
37.792;3
37.842;10
37.892;14
37.942;7
37.992;4
38.042;6
38.092;12
38.142;8
38.192;8
38.242;5
38.292;6
38.342;4
38.392;7
38.442;5
38.492;7
38.542;10
38.592;9
38.642;8
38.692;8
